DateTime	Temperature_C	BatteryVoltage_V	ActivityCount
2015-04-05 14:48:20	29.3	3.90	1
2015-04-05 14:57:34	36.3	3.92	1
2015-04-05 15:04:05	38.5	3.94	1
2015-04-05 15:10:55	37.2	3.96	1
2015-04-05 15:16:36	35.8	3.96	1
2015-04-05 15:23:39	34.1	3.96	1
2015-04-05 15:29:21	28.9	3.97	1
2015-04-05 15:35:41	24.9	3.97	1
2015-04-05 15:41:41	23.1	3.96	1
2015-04-05 15:47:12	21.5	3.97	1
2015-04-05 15:53:27	20.5	3.97	1
2015-04-05 15:59:27	18.5	3.96	1
2015-04-05 16:05:34	19.8	3.93	1
2015-04-05 16:11:59	19.2	3.95	1
2015-04-05 16:19:23	18.5	3.95	1
2015-04-05 16:25:22	17.6	3.95	1
2015-04-05 16:31:08	16.6	3.95	1
2015-04-05 16:37:33	16.3	3.94	1
2015-04-05 16:43:28	14.8	3.95	1
2015-04-05 16:53:29	14.2	3.94	1
2015-04-05 16:59:23	13.2	3.94	1
2015-04-05 17:06:57	12.3	3.94	1
2015-04-05 17:12:53	11.7	3.94	1
2015-04-05 17:22:12	11.1	3.94	1
2015-04-05 17:28:10	11.1	3.94	1
2015-04-05 17:34:34	11.1	3.93	1
2015-04-05 17:41:29	11.1	3.94	1
2015-04-05 17:47:27	10.8	3.94	1
2015-04-05 17:55:53	10.8	3.93	1
2015-04-05 18:01:53	10.5	3.93	1
2015-04-05 18:08:51	11.1	3.91	1
2015-04-05 18:16:49	9.8	3.93	1
2015-04-05 18:24:49	9.2	3.93	1
2015-04-05 18:37:18	8.6	3.92	1
2015-04-05 18:47:18	8.0	3.92	1
2015-04-05 19:04:44	7.4	3.92	1
2015-04-05 19:10:44	7.0	3.92	1
2015-04-05 19:18:52	8.6	3.87	1
2015-04-05 19:33:37	6.4	3.90	1
2015-04-05 19:42:39	6.1	3.90	1
2015-04-05 19:51:02	6.1	3.90	1
2015-04-05 20:00:02	6.1	3.90	1
2015-04-05 20:09:02	6.1	3.90	1
2015-04-05 20:18:02	6.1	3.90	1
2015-04-05 20:27:36	6.1	3.90	1
2015-04-05 20:37:36	6.4	3.90	1
2015-04-05 20:46:36	7.0	3.90	1
2015-04-05 20:56:35	7.4	3.90	1
2015-04-05 21:05:38	7.4	3.90	1
2015-04-05 21:14:40	7.4	3.90	1
2015-04-05 21:23:35	7.4	3.89	1
2015-04-05 21:34:35	7.4	3.90	1
2015-04-05 21:44:35	7.0	3.90	1
2015-04-05 21:54:37	7.0	3.90	1
2015-04-05 22:04:36	7.0	3.90	1
2015-04-05 22:14:38	7.0	3.90	1
2015-04-05 22:25:40	8.3	3.86	1
2015-04-05 22:42:38	7.0	3.89	1
2015-04-05 22:53:40	7.0	3.89	1
2015-04-05 23:04:42	7.0	3.89	1
2015-04-05 23:15:44	7.0	3.89	1
2015-04-05 23:26:45	6.7	3.89	1
2015-04-05 23:37:11	6.7	3.89	1
